Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2014,City Auditor,RCV,1,Ann-Marie Hogan,F,n/a,,Y,98.43,,n/a,,,,,,,,,,,,,,
2014,City Council D1,RCV,3,Linda Maio,F,n/a,,Y,54.54,,n/a,,,,,,,,,,,,,,
2014,City Council D1,RCV,3,Alejandro Soto-Vigil,M,Latino,http://votersedge.org/california/2014/november/berkeley/candidates/council-member-council-district-1/9766-alejandro-soto-vigil#.VagIP5NViko,N,40.63,,Photo,,,,,,,,,,,,,,
2014,City Council D1,RCV,3,Merrilie Mitchell,F,n/a,http://www.dailycal.org/2014/07/30/community-advocate-merrilie-mitchell-files-run-city-council-district-1/,N,4.49,,n/a,,,,,,,,,,,,,,
2014,City Council D4,RCV,1,Jesse Arreguin,M,Latino,http://www.ci.berkeley.ca.us/MeetJesse.aspx,Y,95.4,,His website- listed in H,,,,,,,,,,,,,,
2014,City Council D7,RCV,2,Kriss Worthington,M,n/a,,Y,55.5,,n/a,,,,,,,,,,,,,,
2014,City Council D7,RCV,2,Sean Barry,M,n/a,http://www.berkeleyside.com/2014/07/07/berkeley-native-seeks-to-be-youngest-city-council-member/,N,44.16,,n/a,,,,,,,,,,,,,,
2014,City Council D8,RCV,4,Lori Droste,F,n/a,,Y,29.15,50.19,n/a,,,,,,,,,,,,,,
2014,City Council D8,RCV,4,George Beier,M,n/a,http://patch.com/california/berkeley/george-beier-for-berkeley-city-council--kick-off-event-to-meet-the-candidate,N,26.46,49.81,n/a,,,,,,,,,,,,,,
2014,City Council D8,RCV,4,Mike Alvarez Cohen,M,n/a,http://www.mike4berkeley.org/,N,25.8,,n/a,,,,,,,,,,,,,,
2014,City Council D8,RCV,4,Jacquelyn McCormick,F,n/a,http://www.berkeleyside.com/2012/06/18/jacquelyn-mccormick-vows-to-be-a-more-inclusive-mayor/,N,18.41,,n/a,,,,,,,,,,,,,,
2012,City Council D2,RCV,3,Darryl Moore,M,African American,http://www.ci.berkeley.ca.us/council2/,Y,58.68,,Photo- see H,,,,,,,,,,,,,,
2012,City Council D2,RCV,3,Denisha Delane,F,African American,http://www.smartvoter.org/2012/11/06/ca/alm/vote/delane_d/,N,28.17,,Photo- https://www.linkedin.com/in/denishadelane,,,,,,,,,,,,,,
2012,City Council D2,RCV,3,Adolfo Cabral,M,Latino,http://www.smartvoter.org/2012/11/06/ca/alm/vote/cabral_a/,N,12.64,,No,,,,,,,,,,,,,,
2012,City Council D3,RCV,2,Max Anderson,M,African American,http://www.ci.berkeley.ca.us/council3/,Y,60.35,,Photo- see H,,,,,,,,,,,,,,
2012,City Council D3,RCV,2,Dmitri Belser,M,n/a,http://www.berkeleyside.com/2012/10/18/anderson-and-belser-vie-for-district-3-council-seat/,N,39.11,,n/a,,,,,,,,,,,,,,
2012,City Council D5,RCV,2,Laurie Capitelli,M,n/a,http://www.ci.berkeley.ca.us/council5/,Y,54.25,,n/a,,,,,,,,,,,,,,
2012,City Council D5,RCV,2,Sophie Hahn,F,n/a,http://www.sophiehahn.com/,N,45.4,,n/a,,,,,,,,,,,,,,
2012,City Council D6,RCV,2,Susan Wengraf,F,n/a,,Y,93.71,,n/a,,,,,,,,,,,,,,
2012,City Council D6,RCV,2,Phoebe Sorgen,F,n/a,http://www.phoebesorgen.net/index.jsp,N,4.9,,n/a,,,,,,,,,,,,,,
2012,Mayor,RCV,7,Tom Bates,M,n/a,,Y,54.09,,n/a,,,,,,,,,,,,,,
2012,Mayor,RCV,7,Kriss Worthington,M,n/a,,N,21.74,,n/a,,,,,,,,,,,,,,
2012,Mayor,RCV,7,Jacquelyn McCormick,F,n/a,,N,11.35,,n/a,,,,,,,,,,,,,,
2012,Mayor,RCV,7,Bernt Rainer Wahl,M,n/a,http://www.wahl.org/,N,4.39,,n/a,,,,,,,,,,,,,,
