candidates,contest,fptp_votes,place,state,date,office,num_winners,rcv_type,fptp,rcv,different,gender,race,party_affiliation,notes,,,
"Pitkin, John",Cambridge City Council 2001,1081,Cambridge,MA,2001,City Council,9,stv_whole_ballot,TRUE,FALSE,TRUE,M,,,,,,
"DeBergalis, Matt S.",Cambridge City Council 2003,1200,Cambridge,MA,2003,City Council,9,stv_whole_ballot,TRUE,FALSE,TRUE,M,,,,,,
Shawn Bunney,"Pierce County Council, District 2 2008",105006,Pierce County,WA,2008,Council District 2,1,rcv_single_winner,TRUE,FALSE,TRUE,M,,,,,,
"Sullivan, Edward J.",Cambridge City Council 2009	,877,Cambridge,MA,2009,City Council,9,stv_whole_ballot,TRUE,FALSE,TRUE,M,,,,,,
Kurt Wright,Burlington Mayor 2009,2946,Burlington,VT,2009,Mayor,1,rcv_single_winner,TRUE,FALSE,TRUE,M,,Republican,,,,
DON PERATA,2010 Mayor of Oakland Nov 2010,40293,Oakland,CA,2010,Mayor,1,rcv_single_winner,TRUE,FALSE,TRUE,M,,Democrat,https://www.nytimes.com/2010/11/12/us/politics/12bcvoting.html,,,
ANTHONY B. ''TONY'' SANTOS,2010 Mayor of San Leandro Nov 2010,7956,San Leandro,CA,2010,Mayor,1,rcv_single_winner,TRUE,FALSE,TRUE,M,,,https://www.eastbaytimes.com/2019/04/19/former-san-leandro-mayor-anthony-tony-santos-dies/,,,
SEAN SULLIVAN,"2012 Member, City Council,District 3 - Oakland Nov 2012",5724,Oakland,CA,2012,Member City Council District 3,1,rcv_single_winner,TRUE,FALSE,TRUE,M,,,https://ebaldc.org/ebaldc-elects-sean-sullivan-as-new-board-chair/,,,
"Benzan, Dennis A.",Cambridge City Council 2015,1148,Cambridge,MA,2015,City Council,9,stv_whole_ballot,TRUE,FALSE,TRUE,M,,,http://vote.cambridgecivic.com/benzan.htm,,,
DARRYL MOORE,2016 BerkeleyCouncilD2,2827,Berkeley,CA,2016,CouncilD2,1,rcv_single_winner,TRUE,FALSE,TRUE,M,,,https://www.berkeleyside.com/2016/10/11/election-2016-who-is-darryl-moore,,,
HUBER TRENADO,2016 OaklandSchoolD5,4875,Oakland,CA,2016,SchoolD5,1,rcv_single_winner,TRUE,FALSE,TRUE,M,,,https://ballotpedia.org/Huber_Trenado,,,
"REP Poliquin, Bruce",Maine General CD2 CVR Updated 2018,133993,Maine,ME,2018,General CD2 CVR,1,rcv_single_winner,TRUE,FALSE,TRUE,M,,Republican,https://www.nytimes.com/2018/11/15/us/politics/poliquin-maine-loses.html,,,
"Maher, David P.",Cambridge City Council 2001,,Cambridge,MA,2001,City Council,9,stv_whole_ballot,FALSE,TRUE,TRUE,M,,,https://www2.cambridgema.gov/deptann.cfm?story_id=317,,,
"Cheung, Leland",Cambridge City Council 2009,,Cambridge,MA,2009,City Council,9,stv_whole_ballot,FALSE,TRUE,TRUE,M,,Democrat,https://en.wikipedia.org/wiki/Leland_Cheung,https://www.cityofberkeley.info/uploadedFiles/Clerk/Elections/2016/Summary%20Results%20Nov.%202016.pdf,,
Bob Kiss,Burlington Mayor 2009,,Burlington,VT,2009,Mayor,1,rcv_single_winner,FALSE,TRUE,TRUE,M,,Progressive,https://en.wikipedia.org/wiki/Bob_Kiss,,,
MARK FARRELL,San Francisco Board of Supervisors District 2 2010,,San Francisco,CA,2010,Board of Supervisors District 2,1,rcv_single_winner,FALSE,TRUE,TRUE,M,,,https://en.wikipedia.org/wiki/Mark_Farrell_(politician),https://www.craigkelley.org/,,
STEPHEN H. CASSIDY,Mayor of San Leandro Nov 2010,,San Leandro,CA,2010,Mayor,1,rcv_single_winner,FALSE,TRUE,TRUE,M,,,https://en.wikipedia.org/wiki/Stephen_H._Cassidy,,,
"Carlone, Dennis J.",Cambridge City Council 2015,,Cambridge,MA,2015,City Council,9,stv_whole_ballot,FALSE,TRUE,TRUE,M,,,https://www.cambridgema.gov/Departments/citycouncil/citycouncilmembers/denniscarlone,,,
Steve Fletcher,Minneapolis Ward 3 2017,,Minneapolis,MN,2017,Ward 3,1,rcv_single_winner,FALSE,TRUE,TRUE,M,,,http://www.minneapolismn.gov/ward3/about-steve,,,https://abc7news.com/politics/london-breed-sworn-in-as-san-francisco-mayor/3740958/
Phillipe M. Cunningham,Minneapolis Ward 4 2017,,Minneapolis,MN,2017,Ward 4,1,rcv_single_winner,FALSE,TRUE,TRUE,M,,,http://vote.minneapolismn.gov/results/2017/2017-ward-04-tabulation,,,
"DEM Golden, Jared F.",Maine General CD2 CVR Updated 2018,,Maine,ME,2018,General CD2 CVR,1,rcv_single_winner,FALSE,TRUE,TRUE,M,,Democrat,https://www.maine.gov/sos/news/2018/poliquinrecount.html,,,
DEAN PRESTON,"San Francisco Board of Supervisors, District 5 2019",,San Francisco,CA,2019,"Member, Board of Supervisors, District 5",1,rcv_single_winner,FALSE,TRUE,TRUE,M,,Democrat,https://en.wikipedia.org/wiki/Dean_Preston,,,
LYNETTE SWEET,San Francisco Board of Supervisors District 10 2010,2137,San Francisco,CA,2010,Board of Supervisors District 10,1,rcv_single_winner,TRUE,FALSE,TRUE,F,,,,,,
JANET REILLY,San Francisco Board of Supervisors District 2 2010,9874,San Francisco,CA,2010,Board of Supervisors District 2,1,rcv_single_winner,TRUE,FALSE,TRUE,F,,,,,,
URSULA REED,"2012 Member, City Council, District 2 - San Leandro Nov 2012",10707,San Leandro,CA,2012,Member City Council District 2,1,rcv_single_winner,TRUE,FALSE,TRUE,F,,Democrat,https://patch.com/california/sanleandro/ursula-reed-candidate-for-san-leandro-city-council-district-2,,,
"Cronin, Fran Albin",Cambridge School Committee 2015,1411,Cambridge,MA,2015,School Committee,6,stv_whole_ballot,TRUE,FALSE,TRUE,F,,,http://vote.cambridgecivic.com/cronin.htm,,,
Ginger Jentzen,Minneapolis Ward 3 2017,3290,Minneapolis,MN,2017,Ward 3,1,rcv_single_winner,TRUE,FALSE,TRUE,F,,,https://ballotpedia.org/Ginger_Jentzen,,,
"Barbara A. ""Barb"" Johnson",Minneapolis Ward 4 2017,2254,Minneapolis,MN,2017,Ward 4,1,rcv_single_winner,TRUE,FALSE,TRUE,F,,,https://www.mprnews.org/story/2017/11/08/barb-johnson-minneapolis-council-president-defeated,,,
VALLIE BROWN,"San Francisco Board of Supervisors, District 5 2019",11171,San Francisco,CA,2019,"Member, Board of Supervisors, District 5",1,rcv_single_winner,TRUE,FALSE,TRUE,F,,,https://ballotpedia.org/Vallie_Brown,,,
"Simmons, Denise",Cambridge City Council 2003,,Cambridge,MA,2003,City Council,9,stv_whole_ballot,FALSE,TRUE,TRUE,F,,,https://en.wikipedia.org/wiki/E._Denise_Simmons,,,
