Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2014,City Auditor,RCV,2,Brenda Roberts,F,n/a,http://www.oaklandauditor.com/,Y,76.34,,n/a,,,,,,,,,,,,,,
2014,City Auditor,RCV,2,Len Raphael,M,n/a,https://www.facebook.com/lensforchange/info?tab=page_info,N,22.87,,n/a,,,,,,,,,,,,,,
2014,City Council D2,RCV,5,Abel Guillen,M,Latino,http://votersedge.org/california/2014/november/oakland/candidates/council-member-council-district-2/9818-ken-maxey#.VagdVJNViko,Y,35.93,53.03,Photo-see H,,,,,,,,,,,,,,
2014,City Council D2,RCV,5,Dana King,F,Undetermined,http://www.smartvoter.org/2014/11/04/ca/alm/vote/king_d/,N,32.83,46.97,n/a,,,,,,,,,,,,,,
2014,City Council D2,RCV,5,Andrew Park,M,Asian,http://votersedge.org/california/2014/november/oakland/candidates/council-member-council-district-2/9818-ken-maxey#.VagdVJNViko,N,19.12,,Photo-see H,,,,,,,,,,,,,,
2014,City Council D2,RCV,5,Kevin Blackburn,M,n/a,http://votersedge.org/california/2014/november/oakland/candidates/council-member-council-district-2/9818-ken-maxey#.VagdVJNViko,N,9.55,,n/a,,,,,,,,,,,,,,
2014,City Council D2,RCV,5,Ken Maxey,M,Undetermined- Definitely POC,http://www.mercurynews.com/ci_26636498/oakland-five-candidates-vie-replace-pat-kernighan and http://www.oaklandchamber.com/pages/BoardofDirectors/,N,2.29,,Photo-see H,,,,,,,,,,,,,,
2014,City Council D4,RCV,3,Annie Campbell Washington,F,n/a,http://www2.oaklandnet.com/Government/o/CityCouncil/o/District4/index.htm,Y,63.95,,n/a,,,,,,,,,,,,,,
2014,City Council D4,RCV,3,Jill Broadhurst,F,n/a,http://ballotpedia.org/Jill_Broadhurst,N,30.06,,n/a,,,,,,,,,,,,,,
2014,City Council D4,RCV,3,Paul Lim,M,Asian,http://ballotpedia.org/Paul_Lim,N,5.68,,Photo-see H,,,,,,,,,,,,,,
2014,City Council D6,RCV,5,Desley Brooks,F,African American,http://www.sfchronicle.com/bayarea/johnson/article/Oakland-Councilwoman-Desley-Brooks-is-out-of-6652964.php,Y,42.6,52.33,Photo- see H,,,,,,,,,,,,,,
2014,City Council D6,RCV,5,Shereda F. Nosakhare,F,African American,http://www.emergeamerica.org/people/shereda-nosakhare,N,29.94,47.67,Photo- see H,,,,,,,,,,,,,,
2014,City Council D6,RCV,5,Michael V. Johnson,M,African American,https://ballotpedia.org/Michael_V._Johnson,N,17.26,,Photo- see H,,,,,,,,,,,,,,
2014,City Council D6,RCV,5,James Moore,M,African American,https://ballotpedia.org/James_Moore_(California),N,8.97,,Photo- see H,,,,,,,,,,,,,,
2014,City Council D6,RCV,5,Vicente Cruz,M,Undetermined,http://cruzthinks.blogspot.com/,N,0.73,,n/a,,,,,,,,,,,,,,
2014,Mayor,RCV,16,Libby Schaaf,F,n/a,http://www2.oaklandnet.com/Government/o/Mayor/,Y,29.43,63.2,n/a,,,,,,,,,,,,,,
2014,Mayor,RCV,16,Jean Quan,F,Asian,http://www.sfgate.com/politics/article/Becoming-mayor-after-years-of-fighting-authority-2479776.php and http://www.sfgate.com/bayarea/article/Jean-Quan-loses-Oakland-mayor-s-job-to-Libby-5873406.php,N,15.43,,Photo- See H,,,,,,,,,,,,,,
2014,Mayor,RCV,16,Rebecca Kaplan,F,n/a,http://www.ebar.com/news/article.php?sec=news&article=2749,N,14.34,36.8,n/a,,,,,,,,,,,,,,
2014,Mayor,RCV,16,Dan Siegel,M,n/a,http://www.oakmayor2014.com/candidates/dan-siegel/,N,12.8,,n/a,,,,,,,,,,,,,,
