Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2014,Board of Supervisors D10,RCV,5,Malia Cohen,F,African American,http://www.sfbos.org/index.aspx?page=11322,Y,46.49,51.72,Photo- see H,,,,,,,,,,,,,,
2014,Board of Supervisors D10,RCV,5,Tony Kelly,M,n/a,https://ballotpedia.org/Tony_Kelly,N,24.01,28.54,n/a,,,,,,,,,,,,,,
2014,Board of Supervisors D10,RCV,5,Marlene Tran,F,asian,http://www.sfweekly.com/sanfrancisco/marlene-trans-success-shows-strength-of-asian-voters/Content?oid=2179486,N,17.6,19.75,Article,,,,,,,,,,,,,,
2014,Board of Supervisors D10,RCV,5,Shawn M. Richard,M,African American,https://ballotpedia.org/Shawn_M._Richard,N,6.42,0,Photo- see H,,,,,,,,,,,,,,
2014,Board of Supervisors D10,RCV,5,Ed Donaldson,M,African American,https://www.facebook.com/pages/Ed-Donaldson-for-District-10-Supervisor/320895614729402,N,5.16,0,Photo- see H,,,,,,,,,,,,,,
2014,Board of Supervisors D2,RCV,2,Mark E. Farrell,M,n/a,http://www.sfbos.org/index.aspx?page=11323,Y,78.61,,n/a,,,,,,,,,,,,,,
2014,Board of Supervisors D2,RCV,2,Juan-Antonio Carballo,M,Spanish** (country of birth),http://ballotpedia.org/Juan-Antonio_Carballo,N,20.68,,Website,,,,,,,,,,,,,,
2014,Board of Supervisors D4,RCV,1,Katy Tang,F,Asian,http://www.sfbos.org/index.aspx?page=13999,Y,96.7,,Photo- see H,,,,,,,,,,,,,,
2014,Board of Supervisors D6,RCV,5,Jane Kim,F,Asian,http://www.sfbos.org/index.aspx?page=11324,Y,67.42,,Photo- see H,,,,,,,,,,,,,,
2014,Board of Supervisors D6,RCV,5,Michael Nulty,M,n/a,http://www.electmichaelnulty.com/,N,11.21,,n/a,,,,,,,,,,,,,,
2014,Board of Supervisors D6,RCV,5,Jamie Whitaker,M,n/a,https://www.facebook.com/ElectJamie,N,11.14,,n/a,,,,,,,,,,,,,,
2014,Board of Supervisors D6,RCV,5,David Carlos Salaverry,M,n/a,http://ballotpedia.org/David_Carlos_Salaverry,N,9.24,,n/a,,,,,,,,,,,,,,
2014,Board of Supervisors D6,RCV,5,Rodney Hauge,M,n/a,could not find,N,0.08,,n/a,,,,,,,,,,,,,,
2014,Board of Supervisors D8,RCV,5,Scott Wiener,M,n/a,http://www.sfbos.org/index.aspx?page=11325,Y,77.67,,n/a,,,,,,,,,,,,,,
2014,Board of Supervisors D8,RCV,5,Michael Petrelis,M,n/a,http://ebar.com/blogs/lgbt-activist-michael-petrelis-to-kick-off-sf-supervisor-bid-april-5/,N,6.81,,n/a,,,,,,,,,,,,,,
2014,Board of Supervisors D8,RCV,5,Tommy Basso,M,Undetermined,,N,5.35,,,,,,,,,,,,,,,,
2014,Board of Supervisors D8,RCV,5,George Davis,M,n/a,https://supervisorgeorgedavis.wordpress.com/,N,4.66,,n/a,,,,,,,,,,,,,,
2014,Board of Supervisors D8,RCV,5,John Nulty,M,n/a,http://ballotpedia.org/John_Nulty,N,4.62,,n/a,,,,,,,,,,,,,,
2013,Board of Supervisors D4,RCV,3,Katy Tang,F,Asian,,Y,80.42,,,,,,,,,,,,,,,,
2013,Board of Supervisors D4,RCV,3,Ivan Seredni,M,n/a,http://www.connect6.com/Ivan-Seredni/p/217114039123038194184092234081240093002043227198112189048194062065150158067098250194060051037146179114051047205093154049178225096110065149062138 and http://www.ebar.com/news/article.php?sec=news&article=69088,N,16.16,,n/a,,,,,,,,,,,,,,
2013,Board of Supervisors D4,RCV,3,Michael Murphy,M,Undetermined,https://murphy4supe.wordpress.com/about/,N,2.51,,,,,,,,,,,,,,,,
2013,City Attorney,RCV,1,Dennis J. Herrera,M,Latino,http://www.sfgate.com/news/article/Same-sex-marriage-fight-pits-unlikely-advocate-2627899.php,Y,96.91,,Surname and photo- see H,,,,,,,,,,,,,,
2013,Treasurer,RCV,1,Jose Cisneros,M,Latino,https://www.cacities.org/Top/News/News-Articles/2013/September/San-Francisco-Treasurer-Jose-Cisneros-Elected-Leag and http://sfofe.org/people,Y,96.87,,Photo- see H,,,,,,,,,,,,,,
